topic,alpha,word,weight
1,0.3333333333333333,別,2262
1,0.3333333333333333,離,1755
1,0.3333333333333333,思,927
1,0.3333333333333333,愁,908
1,0.3333333333333333,相,901
1,0.3333333333333333,恨,889
1,0.3333333333333333,情,866
1,0.3333333333333333,夢,622
1,0.3333333333333333,淚,611
1,0.3333333333333333,堪,401
1,0.3333333333333333,送,365
1,0.3333333333333333,傷,350
1,0.3333333333333333,遠,332
1,0.3333333333333333,斷,314
1,0.3333333333333333,寄,291
1,0.3333333333333333,欲,226
1,0.3333333333333333,怨,218
1,0.3333333333333333,魂,205
1,0.3333333333333333,那,191
1,0.3333333333333333,惜,189
2,0.3333333333333333,懷,517
2,0.3333333333333333,可,395
2,0.3333333333333333,浩,384
2,0.3333333333333333,方,353
2,0.3333333333333333,永,315
2,0.3333333333333333,然,312
2,0.3333333333333333,期,290
2,0.3333333333333333,遊,288
2,0.3333333333333333,昔,286
2,0.3333333333333333,言,264
2,0.3333333333333333,窮,262
2,0.3333333333333333,已,261
2,0.3333333333333333,忽,260
2,0.3333333333333333,鬱,259
2,0.3333333333333333,茲,253
2,0.3333333333333333,想,244
2,0.3333333333333333,感,226
2,0.3333333333333333,屢,222
2,0.3333333333333333,幽,218
2,0.3333333333333333,息,215
3,0.3333333333333333,恩,1106
3,0.3333333333333333,主,707
3,0.3333333333333333,朝,626
3,0.3333333333333333,報,513
3,0.3333333333333333,重,442
3,0.3333333333333333,將,419
3,0.3333333333333333,明,407
3,0.3333333333333333,臣,393
3,0.3333333333333333,天,382
3,0.3333333333333333,詔,355
3,0.3333333333333333,使,341
3,0.3333333333333333,承,327
3,0.3333333333333333,拜,317
3,0.3333333333333333,從,306
3,0.3333333333333333,出,268
3,0.3333333333333333,親,257
3,0.3333333333333333,方,255
3,0.3333333333333333,賜,251
3,0.3333333333333333,傳,250
3,0.3333333333333333,國,248
4,0.3333333333333333,悠,1680
4,0.3333333333333333,流,1478
4,0.3333333333333333,遊,1120
4,0.3333333333333333,秋,930
4,0.3333333333333333,頭,868
4,0.3333333333333333,愁,852
4,0.3333333333333333,州,807
4,0.3333333333333333,樓,739
4,0.3333333333333333,休,655
4,0.3333333333333333,留,538
4,0.3333333333333333,水,416
4,0.3333333333333333,憂,371
4,0.3333333333333333,侯,356
4,0.3333333333333333,收,346
4,0.3333333333333333,浮,334
4,0.3333333333333333,丘,258
4,0.3333333333333333,求,246
4,0.3333333333333333,白,198
4,0.3333333333333333,淹,195
4,0.3333333333333333,舟,186
5,0.3333333333333333,年,2066
5,0.3333333333333333,白,1790
5,0.3333333333333333,少,1199
5,0.3333333333333333,老,1161
5,0.3333333333333333,髮,1085
5,0.3333333333333333,鬢,669
5,0.3333333333333333,頭,667
5,0.3333333333333333,衰,571
5,0.3333333333333333,日,406
5,0.3333333333333333,長,339
5,0.3333333333333333,鏡,310
5,0.3333333333333333,顏,293
5,0.3333333333333333,不,267
5,0.3333333333333333,多,267
5,0.3333333333333333,病,264
5,0.3333333333333333,愁,224
5,0.3333333333333333,身,210
5,0.3333333333333333,青,210
5,0.3333333333333333,絲,208
5,0.3333333333333333,幾,199
6,0.3333333333333333,君,3544
6,0.3333333333333333,我,2809
6,0.3333333333333333,不,1306
6,0.3333333333333333,為,1141
6,0.3333333333333333,與,1009
6,0.3333333333333333,此,607
6,0.3333333333333333,相,502
6,0.3333333333333333,心,446
6,0.3333333333333333,見,419
6,0.3333333333333333,如,407
6,0.3333333333333333,願,371
6,0.3333333333333333,使,289
6,0.3333333333333333,言,284
6,0.3333333333333333,可,255
6,0.3333333333333333,得,227
6,0.3333333333333333,亦,222
6,0.3333333333333333,安,215
6,0.3333333333333333,復,201
6,0.3333333333333333,能,194
6,0.3333333333333333,若,168
7,0.3333333333333333,青,1665
7,0.3333333333333333,白,1630
7,0.3333333333333333,雲,1622
7,0.3333333333333333,山,1605
7,0.3333333333333333,石,753
7,0.3333333333333333,水,726
7,0.3333333333333333,松,682
7,0.3333333333333333,下,566
7,0.3333333333333333,上,473
7,0.3333333333333333,鶴,422
7,0.3333333333333333,月,412
7,0.3333333333333333,碧,400
7,0.3333333333333333,片,392
7,0.3333333333333333,高,379
7,0.3333333333333333,溪,360
7,0.3333333333333333,雪,273
7,0.3333333333333333,寒,269
7,0.3333333333333333,泉,232
7,0.3333333333333333,臥,207
7,0.3333333333333333,古,203
8,0.3333333333333333,君,2018
8,0.3333333333333333,不,1050
8,0.3333333333333333,妾,639
8,0.3333333333333333,夫,602
8,0.3333333333333333,如,473
8,0.3333333333333333,心,470
8,0.3333333333333333,人,421
8,0.3333333333333333,為,385
8,0.3333333333333333,女,353
8,0.3333333333333333,願,322
8,0.3333333333333333,作,309
8,0.3333333333333333,有,305
8,0.3333333333333333,結,300
8,0.3333333333333333,莫,299
8,0.3333333333333333,家,284
8,0.3333333333333333,婦,266
8,0.3333333333333333,子,252
8,0.3333333333333333,相,236
8,0.3333333333333333,欲,235
8,0.3333333333333333,嫁,233
9,0.3333333333333333,門,1251
9,0.3333333333333333,日,1003
9,0.3333333333333333,出,923
9,0.3333333333333333,上,825
9,0.3333333333333333,無,823
9,0.3333333333333333,中,789
9,0.3333333333333333,蓬,759
9,0.3333333333333333,一,708
9,0.3333333333333333,時,572
9,0.3333333333333333,下,559
9,0.3333333333333333,不,537
9,0.3333333333333333,有,470
9,0.3333333333333333,在,430
9,0.3333333333333333,高,420
9,0.3333333333333333,入,409
9,0.3333333333333333,人,402
9,0.3333333333333333,生,400
9,0.3333333333333333,萊,331
9,0.3333333333333333,天,330
9,0.3333333333333333,山,293
10,0.3333333333333333,多,2579
10,0.3333333333333333,過,1313
10,0.3333333333333333,何,1050
10,0.3333333333333333,歌,827
10,0.3333333333333333,少,703
10,0.3333333333333333,波,688
10,0.3333333333333333,和,641
10,0.3333333333333333,無,612
10,0.3333333333333333,奈,465
10,0.3333333333333333,年,418
10,0.3333333333333333,經,397
10,0.3333333333333333,事,373
10,0.3333333333333333,幾,361
10,0.3333333333333333,時,324
10,0.3333333333333333,意,285
10,0.3333333333333333,河,221
10,0.3333333333333333,蘿,211
10,0.3333333333333333,蹉,208
10,0.3333333333333333,跎,200
10,0.3333333333333333,歲,182
11,0.3333333333333333,眉,637
11,0.3333333333333333,女,582
